x85+ years of age,x75-84 years,x65-74 years,x55-64 years,x45-54 years,x35-44 years of age,x25-34 years of age,x15-24 years of age
24.5,8.5,10.7,9.8,9.6,8.7,7.6,4.7
28.6,9.3,7.7,7.1,8.1,10.5,9.2,6.1
21.5,7.7,13.4,12.6,11.1,6.7,5.8,3.3
22.8,9.9,3.5,4.7,6.2,4.9,2.7,4.7
26,11.1,5.2,7.9,10.8,8.4,3.7,4.6
20.5,8.8,1.9,1.6,1.9,1.2,1.6,4.8
8.3,4.4,2.8,2.3,2.7,3.9,4.1,3.3
10.8,5.9,3.7,3.3,3.5,4.8,5.2,4
6.1,3,1.8,1.4,1.9,3,3,2.6
165.1,63.5,47.4,32.1,20.5,8.4,5.8,3.7
341.3,123.4,80.4,52.4,34.2,14.4,10,6.1
60.1,23.5,18.7,12.8,7.7,2.7,1.8,1.3
0,0,0,3.7,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,6.9,0,0,0,0
15.8,13.9,11,10.5,9.6,9.6,11.1,11.8
45.2,31,21.2,18,15.8,15.8,18.2,17.2
3.7,3.2,2.9,3.8,3.9,3.6,4.1,6.2
27.9,13.7,6.6,4.9,4.5,3.2,1.4,1.3
69.6,33.6,13.6,9.3,8.5,6.4,1.7,1.6
5.4,2.1,1.8,1.5,1.3,0.6,1.2,1
16,14.5,11.4,16.2,18.8,17.2,14.4,11.8
27.2,20.9,17.1,24.8,27.7,26.3,22.2,17.6
9,8.8,5.9,7.8,10.2,8.1,6.4,5.7
34.3,33,18.1,17.2,19.7,14.1,9.6,7.8
84.4,61.9,30.7,25.6,27.6,20.5,16.2,12.5
9.8,11.4,7,9,11.7,7.6,2.7,2.7
24,10.4,6.8,5.7,5.3,5.4,4.9,4
38.3,15.2,10.9,9.5,9.1,9.4,8.4,6.4
16.9,7.4,3.6,2.3,1.7,1.5,1.4,1.3
11.3,6,4.8,4.2,4.2,4.9,5.6,3.3
24.9,12.7,9.3,7.8,7.4,8.4,8.6,5.2
2.2,1.3,1.1,1.1,1.3,1.7,2.6,1.5
30.1,11.8,5.3,5.4,8.5,12.1,13.2,8.6
43.7,17.4,7.7,8.2,12.3,16,16.3,13.1
18.6,6.6,2.1,1.2,1.2,2.7,5.1,2.7
19.5,10.3,6.4,4.9,5.2,4.3,4.4,4.3
37.6,17.8,10.2,7.9,8.3,6.7,7.2,5.6
5.1,3.1,2.2,1.6,2.1,1.8,1.7,2.9
0,3.4,0,0,0.7,0.3,0,0
0,0,0,0,1.5,0.7,0,0
0,5.9,0,0,0,0,0,0
59.6,36.1,30.9,30.3,31.3,25.6,17.8,7.9
186.2,85.6,63.6,57.9,55.2,43.5,30,13.4
28.4,17.4,10.6,8.4,10,7.9,5,2.1
33.5,29.7,22.3,28.7,28.5,20.7,13.7,6.8
60.8,43,32.2,37.4,36.2,30.2,20.8,10.2
19.8,19.8,13.2,20,20.5,11.1,6.4,3.3
23.1,17.2,13.6,10.5,7.8,9.7,15.2,5.4
42.6,30.6,23.1,18.1,13.8,18.7,27.7,8.5
3.9,3.4,3.6,2.9,2.2,1.4,3.1,2.2
126.4,56.5,42.6,28.5,19.5,11.2,8.3,5.4
236.5,92.9,66.5,43.8,31.9,18.3,13.3,8
64.1,31.8,23.8,14.8,7.8,4.3,3.3,2.9
39,25.5,14.2,9.6,6.9,4.9,4.3,2.9
56.6,33.1,17.8,12.6,8.8,6.5,6.2,4.1
20.9,16.2,9.9,6.1,4.6,2.9,2,1.5
18.8,17.6,17.3,13.8,10.1,6.9,5.8,6.7
34.8,29.4,28.5,22.4,15,9.6,6.9,7
7.9,7.9,7.1,5.6,5.2,4.1,4.8,6.5
54.6,23.8,18.3,14.2,12.9,10.7,7.6,6.9
116.8,46.1,32.5,23.7,20.6,17.2,12.2,9.9
19.9,9.5,6.6,5.4,5.2,4,2.8,3.7
94.2,49.3,40.5,38.5,43.3,30.6,15,10.8
222.6,91,72,72.4,76.4,50.7,26,17.7
43.1,24.3,17.7,14.8,14.5,13.2,4.6,3.9
15.4,12.2,10.4,9.4,9.2,8.5,7.2,7.6
32.7,22.1,17.6,15.2,14.4,13.3,11.8,12.2
6.3,5.2,4.5,4.3,4.4,3.8,2.7,2.9
58.5,13.9,0,0,3,5.2,6.7,0
116.5,28.7,0,0,4,9.8,10.9,0
0,0,0,0,2,0,1.9,0
35.4,23.7,15.2,12.6,10.6,7.3,6.4,3.7
75.4,44.2,27.4,21.4,16,11,10.2,5.1
14.6,11.4,6.1,4.5,4.9,3.4,2.4,2.1
218.2,70,54.2,34.4,21.9,11.5,7.8,5
444.7,129.9,94.9,58,37.6,18.7,11.9,7.1
96.3,33.9,26.9,15.9,7.9,4.4,3.7,2.9
130.9,59,42.4,30,18.6,9.4,6,4.4
243.8,97.8,64.4,44.6,29.3,15.2,9.3,6.4
66.4,32.5,23.9,16.9,9.3,3.8,2.7,2.4
95.5,55.5,41.2,38.1,28.8,16.8,10,5.8
214.2,110.2,84.2,67.2,48.1,28,17.4,9.8
43.7,27.9,14.9,14.6,8.7,4.1,2,1.7
21.6,12.4,13.8,9.7,7.2,6.2,6.1,5.6
32.9,20.8,22,15.2,10.8,9.6,9.1,7.9
14.8,7.1,8.3,5.7,4,3.1,3.2,3.1
212.7,69.9,55.7,36.7,26.4,15.2,9.3,4.9
398,116.6,87.8,55.4,42.5,24.3,14,6.9
100.7,35.9,28.7,19.2,10.4,6,4.5,2.8
13.2,13.1,10.5,15,16.1,13,16.3,11.1
27.3,21.1,16.7,22.2,23,20.2,25.6,15.1
5.1,6.6,4.6,7.9,9.2,6,6.8,6.8
189.8,74.4,72,65.4,51.6,21.6,8.3,7
507,151.8,131.4,111.1,84.6,35.3,12.6,11.6
70.7,30.5,29.8,27.3,20.4,8,4,2.4
172.2,71.4,51,31.4,20.5,10.2,5.6,3.8
308.8,111.6,75.1,43.8,31.5,17.1,9.1,5.8
82.7,38.8,30.4,20.2,9.8,3.2,2.1,1.7
14.5,13.8,10.7,12.3,13.7,11.8,10.1,7.4
40.3,30.7,20.1,21.6,23.1,19,15.9,11.2
1.7,2.1,2.7,3.7,4.6,4.5,4.2,3.6
71.9,38.4,19.1,11.4,7.4,6.3,5.7,4.3
110.6,48,22.8,13.5,9.1,8.4,8.2,5.6
50.2,30.6,15.6,9.2,5.6,4.1,3.1,2.8
11.7,8.1,6.5,4.2,4,3.9,4.6,5.7
26.1,17,12.7,7.5,6.6,6.2,7,8.1
2.1,1.3,1.3,1.4,1.6,1.7,2.2,3.2
102.7,41.3,27.2,17.7,11.8,7.6,6.2,4.1
165.3,56.9,34.5,22.3,15.8,10.9,9.1,4.7
64.7,29.5,20.7,13.3,7.9,4.3,3.2,3.4
187,60.7,44.3,30.3,17.4,8.3,6,3.4
405.1,110.1,69.9,43.2,25,12.5,9.7,5.4
78.3,28.7,23.9,18.3,9.8,4.1,2.4,1.4
3.9,4.9,4.9,10.6,11.8,10.5,10,11
9.7,10.9,9.7,19.6,20.6,18.3,16.7,19.1
0,0,0.6,2,3.2,2.7,3.1,2.6
279.9,80.5,59.5,36.1,23,12.4,8,4.6
518.2,131.3,93.4,57.3,38.7,21.3,13.3,7.4
89.1,28.4,20.1,11.9,6,3.3,2.6,1.8
62.2,38.3,24.6,25.1,21.3,12.3,8.6,6.4
166.8,69.1,40.1,39.7,32.5,17.5,14.5,10.1
25.3,20,12,11.6,10.3,6.8,2.5,2.5
54.9,42.6,27.3,23.4,16.3,11.6,7.5,4.8
106.4,76.2,43.9,37.4,26,18.9,12.1,7.4
19.3,15.1,12.5,10.2,6.7,4.1,2.7,1.9
14.3,5.1,3.1,5.6,6.2,4.9,2.8,4
27.4,8.3,4.8,10.1,10.6,7.8,4.2,6.9
7.1,2.5,1.5,1.1,1.9,2.1,1.3,0.9
21.3,19.8,17.8,17.2,14.1,12.4,11.2,8.1
57.7,41.6,32,27.3,21.3,20.2,18.1,12.4
4.7,5.6,6.1,7.5,6.6,4.2,3.8,3.6
64.9,27,22.6,19,11.1,8.1,7.4,6
188.4,41.4,32.1,24,13.1,9.4,9.2,8
45.9,21,16.3,14.3,9.2,6.8,5.6,4
151.8,63.5,48.2,32.7,18.8,8,5.4,3.5
308.7,113.6,78.9,51.6,31.8,13.1,9,5.6
53.8,25.3,21.7,15.1,6.1,2.9,1.9,1.3
31.8,24.3,14.9,16.6,14.2,9.5,6.7,4
56.7,35.1,21.7,22.4,21.5,14.6,10.1,5.3
18.3,15.4,8.4,10.8,6.7,4.5,3.2,2.6
129.6,56.6,37.8,24,18,13.7,9,3.4
210.1,83.3,53.4,32.8,24,17.6,10.9,4.7
69.1,33.1,22.9,14.6,11.3,9.5,6.8,1.9
18,14.2,11.7,9.4,6.7,6.1,6.2,3.9
33.3,25.1,20.4,16.3,11.2,10.2,10.3,5.6
6.3,5,3.8,2.9,2.3,1.9,2.2,2
12.6,10.6,10.5,8.8,7,8.2,10.5,13.1
26.2,19.4,18.5,15.4,11.6,13.5,16.5,17.7
3.5,3.2,3.3,2.6,2.6,2.9,4.5,8.2
10.8,5.6,5.7,5.5,4.3,4.3,4.3,4
19,8.6,7.8,8.2,6.4,5.8,5.7,4.9
6.4,3.5,3.8,3,2.2,2.8,2.8,3.1
13,7.6,8.7,4.6,6.3,11,7.5,8.6
27.4,14.8,18,9.4,12.1,22.9,12.7,13.4
3.7,2.3,2.1,1.1,2,1.8,3,3.8
205.1,70.9,47.1,30.1,17.9,10.9,9.6,4.5
365.7,122.3,74.8,43.7,21.2,10.3,8.6,5.6
72.9,26.6,20.4,15.7,13.6,11.7,11.3,3.2
157.3,73.9,56.3,42.5,29.6,16.8,10.6,5.1
292.4,118.4,87,62.8,45.1,27.3,18.6,8.4
75.2,40,31.4,23.4,14.9,6.5,2.5,1.7
33.1,21.8,24.4,24.5,13.2,13.5,12.1,14.6
93.4,39.1,47.9,45.2,22.5,22,19.5,21.2
14.9,14,8.7,6.9,4.1,4.5,4,7.7
105.8,52.3,51.7,68.4,93,75,39.9,19.2
389.5,124.3,104.3,119.6,168,160.7,78.8,33.1
46.3,22.5,15.6,12.3,10.7,8.8,3.9,4.6
133.5,64.4,38.6,21.1,11.9,6,4.3,2.9
217.6,99,55.9,30.5,18,9.4,6.6,4.2
67,34.8,23.6,12.9,5.9,2.7,1.9,1.5
50.3,16.9,12.9,11.5,8.4,10.4,12.9,15.4
82.8,25.6,18.7,15.6,12.7,16.2,18.3,18.1
25.1,11.1,8,7.4,4,4.4,7.3,12.5
16.8,18.2,17.1,18.4,18.2,17.2,21,16.1
35,30.3,27,28.1,26.3,26.8,32.9,20.9
8.3,9.4,8.1,9,9.9,7.1,8.5,11
28.2,28.6,16.7,20,19.4,13.3,8.5,4.1
59.6,45.4,24.1,31.5,31.1,21.1,13.6,6.2
13.2,16.2,10.2,9.3,8.1,5.6,3.5,2
177.5,70.3,51.9,31.3,17,9.8,7.5,4.3
416,140.3,91.7,54,28,16,13.1,7.7
55.3,23.5,17.1,9.2,4.3,2.5,1.8,0.9
191.7,56.5,40.2,23.6,12.4,6.3,4.6,3.4
292,77.7,53.7,30.2,15.8,9.5,6.9,5.4
111.6,36.7,27.1,17.2,9.2,3.3,2.5,1.4
36.8,19.7,13.8,14.1,11.8,10.2,7.9,6.6
92.9,42,26.7,26.3,21.1,18.8,14.3,10.6
13.7,8.1,5,4.2,3.4,2,1.5,2.1
37.9,26.5,16.1,15.7,14.9,10.1,7.8,6
79.4,44.1,24.7,23.2,22,15.9,12.1,9
16.9,13.1,8.4,8.3,7.9,4.1,3.1,2.7
167.4,57.4,40.7,24.2,16.2,8.2,5.2,3.3
356.2,118.6,79.3,45.3,30.1,14.9,9.4,5.7
26.6,9.6,6.9,4,2.4,1.3,0.9,0.8
7.6,7.4,6.7,8.1,7.8,4.6,3.3,2.1
16.7,15.3,11.5,13.6,13,6.7,4.7,3.3
1.3,1.3,2.5,3,2.7,2.4,1.7,0.8
0,0,5.2,0,0,0,0,0
0,0,10.5,0,0,0,0,0
0,0,0,0,0,0,0,0
9.6,7.3,8.1,7.2,6.6,7,8.7,11.3
17.4,12.9,14.7,13.2,12.1,12.4,14.6,16
3.9,2.8,2.7,2.3,2.1,2.1,2.8,6.5
165.6,53.6,41.9,27.7,18.9,12,8.2,4.7
261.1,80.2,62.1,39.7,29.7,18.8,11.4,6.3
106.9,36.7,29.6,20.1,11.4,6.7,5.1,3.1
160.2,55.5,45.6,31.3,17,11.5,7.3,4.9
289.7,92.5,75.4,48.7,26.1,17.7,11.4,7.6
97,34.8,26.2,17.6,8.7,5.8,3.5,2.2
128.7,48.1,52,48,53.7,65.5,58.9,52.2
329.7,106.3,100.2,82.3,87.3,105.8,96.7,69.1
0,1.5,10,14.8,20.1,25.5,20.4,34.4
36.7,21.2,19.8,17.7,17.1,17.6,12.7,9.1
77.7,39.4,32.6,27,25,24.3,14,6.7
10.8,7.4,9.1,9.3,9.9,11.4,11.4,11.4
14.7,10.9,7.4,4.6,4.1,2.3,1.9,1.6
29.5,20,13.3,7.5,6.4,3.9,3.1,2.4
5.1,3.7,2.4,1.9,1.9,0.8,0.7,0.7
47.8,35.2,23.9,28.6,21.1,14.1,9.7,6.9
116.3,75,39.9,47.2,30.6,21.8,16.1,9.9
22.6,14.6,12.5,12.7,11.7,6.2,3.1,3.8
0,0,16.3,16.9,16.8,13.7,13.4,17.3
0,0,21.2,31.6,25.7,27,26.2,24.1
0,0,11.3,2.3,7.9,0,0,10.3
57.1,27.5,17.5,16.3,16.9,18.1,18.6,13.8
79.5,35.4,20.8,21,20.6,22.3,21.1,11.1
39.1,20.6,14.2,11.4,13,13.6,15.7,16.8
23.2,9,5.4,3.7,3.1,2.7,2.9,2.6
34.3,12.7,8,5.8,4.8,4.5,4.8,4
17.2,6.4,3,1.6,1.4,0.9,0.9,1
12.3,6.5,4.9,5.1,5.3,6.6,8.2,8.2
17.1,9.3,7.4,8.1,8.4,10.3,11.9,10.9
5.9,3.2,2.5,2,2.2,2.9,4.4,5.5
23.1,10.4,8.3,7.9,8.4,5.9,5.4,4
46.9,18.5,14.3,13.4,12.7,8.5,7.7,5.5
9.3,4.2,3.1,3.1,4.2,3.1,3,2.5
6.1,5.3,11.8,13.2,17.3,12.8,12.7,7.5
15,9.4,19.6,21.3,27.7,21.2,19.6,12.2
0.8,1.7,4.3,5.3,7,4.8,5.7,2.8
9,11.8,9.6,9.4,7.8,7.1,6.4,3.2
17.3,19.5,15.9,16.3,13.3,11.1,10,4.8
4,5.9,4.2,3.1,2.5,3.1,2.7,1.5
15.8,13.4,9.3,8.4,7.4,5.8,3.9,2.7
35.7,22.7,14.4,13.2,11,8.8,6.1,4.3
6.1,6.3,4.9,3.9,4,2.8,1.7,1
6,5.2,3.8,3.4,3.5,3.4,3,1.7
9.1,8.1,5.8,5.8,6,5.7,4.6,2.4
3.2,2.5,1.8,1.1,1.3,1.3,1.4,0.9
20,20.7,16.6,18.8,20.3,15.9,16.1,12.4
39.8,30.7,22.7,26.9,28.7,23.3,23.4,17.6
11,13.2,11,10.6,11.6,8.2,8.6,7
13.7,5.6,4,2.8,2.7,2.7,2.4,1.6
19.3,7.4,5.7,4.6,4.3,4.2,3.8,2.3
9.8,4,2.3,1.1,0.9,1.1,1,0.8
111.5,38.4,24.1,22.3,26.8,31.3,20.7,17
259.7,76.2,47.8,42.2,48,53.5,34.7,23.2
62.5,21.2,9.2,6.2,7.5,9.5,7,10.5
158.5,58.8,35.8,23.8,18.8,11.4,5.4,3
345.3,109.6,61.7,39.8,29.1,16.1,7.3,4.8
67.7,27.3,15.9,9.5,9,6.9,3.5,1.2
50.3,26.6,23.8,25.6,24.8,44.1,53.6,52.4
146.6,49.1,43.6,43.1,44.8,82.8,94.2,86.9
21.4,16.9,10.7,10.4,7.1,8.8,14.6,17.2
22,4.8,3.9,3.8,4,4.2,3.4,2.1
35.4,7.3,5.5,5.3,5.8,5.8,4.9,3.3
6.1,1.2,1,0.7,0.8,1.2,1.2,0.7
29.8,16.4,11.3,9.8,11.6,14,7.7,9.5
52.8,28,20.1,16.9,20.4,23.4,12.7,13
21.3,10.8,5.3,3.9,3.5,4.7,2.7,5.9
24.7,11.1,9.6,7.9,7,7.1,8.2,7.6
44,18.5,14.8,11.9,10.4,10.2,11.8,10.1
13,5.7,5.2,4,3.7,3.9,4.5,5.1
25.6,26.9,21.5,26.7,28.9,24.5,22.2,10
80.2,58,42.9,51.2,53.5,43,36.6,17.8
10.5,13.2,8.3,7,6.1,5.9,7.1,1.7
9.1,5.2,4.4,3.7,3.1,3.3,3.9,3.6
16,8.1,6.7,5.3,4.5,4.6,5.5,4.8
4.9,2.9,2.4,1.7,1.5,2.2,2.6,2.4
167,107.5,107.1,130.9,201.6,188.2,83.9,34
600.7,228.7,210.6,254.7,354.4,294.1,117.8,48.8
76.6,51.7,39.7,40.3,62.2,70.1,48.3,19.1
132.2,41.9,29.4,14.7,9.1,5.9,4.5,2.9
175.6,51.3,34.4,15.4,12.5,8.5,6.7,4
101.3,34.5,25.2,14.1,5.8,3.2,2.3,1.8
10.7,5.6,5.6,5.3,6.7,7.7,6.6,4
18.5,8.6,7.6,7.6,9.2,10.3,9.2,5.1
5.6,3.3,3.7,3.2,4.1,5.1,4,2.9
32,35.6,38.5,35.6,30.9,30,26.4,13.2
98.7,72.6,76.9,65.7,54.3,52.5,44.2,21.6
12.9,17.4,14.8,11.3,9.5,7.3,7.2,4.3
20,24.6,19.5,19.6,13.8,11.9,6.4,5.3
49.6,37.2,27.1,29.2,18.2,16.5,9.1,6
5,14.8,12.1,9.6,8.9,7,3.7,4.4
100.9,48.4,33.4,21.7,13.5,6.5,4.8,3.4
160.7,76.8,49.4,30.2,18.9,9,6.9,4.9
51.2,25.9,19.5,13.9,8.3,3.9,2.7,2
173.5,61.8,42.9,25.5,14.3,6.7,5.6,4.2
419.8,124.6,80.4,47.8,25.8,13,9.9,7
70.4,26.5,15.8,6.9,3.9,0.7,1.5,1.3
36.7,20.6,15.6,10.5,7.4,6.3,6.3,4
46.3,29.3,22.8,16.1,11.6,10.2,10.7,6.6
26.8,12.7,8.6,4.7,3,1.9,1.7,1.3
27.5,12.2,6.9,3.1,2.3,2,3.8,3.2
45.1,21.2,11.4,5.1,3.4,2.8,4.7,4.2
6.1,2.6,2,1.1,0.7,0.6,1.2,1.2
115.7,40,29.5,18.2,11.7,6.1,4,2.9
144.5,50.4,36,22,16.5,8.9,5.7,3.7
91.6,32,24.3,15.1,7.2,3.3,2.3,2
9.9,5.5,3.3,6.8,10.4,10.7,7,3.6
30.2,11.5,5.7,10.9,17.7,16.1,10.7,5.2
0,0.8,1.1,2.7,2.8,4.9,3.1,2
87.1,35.8,23.7,12.4,5.8,3.6,2.9,1.8
133,50.1,29.9,14.5,7.3,5.4,4.6,2.6
59.9,26.5,18.8,10.5,4.3,1.9,1.2,1
9.2,5.5,11.9,4.7,11.8,13.2,14.1,13.6
29.6,13.5,21,8.6,20.4,23.2,24.7,22
0,0,4.2,1.1,3.2,3,3.4,5.1
10,7.8,5.7,5.1,6.3,7.9,7.4,7.1
19.8,14.3,10.7,9.2,11.4,13.6,12.1,10.1
3.5,2.7,1.4,1.6,1.7,2.8,3,4
66.4,27.8,26.3,26,23.6,40.8,54.1,45.3
138.7,40.6,38.9,37,37.1,66.5,84.1,66.7
38,21.1,14.5,15.2,10.8,14.3,21.1,22.5
26.8,14.4,13.3,15.2,23.2,30,33.5,20.1
70.1,29.8,24.8,28.2,41.1,53.6,58.1,30.5
8.2,4.5,4.6,4.5,6.5,6.6,8.9,9.6
94.7,52.4,38.5,34,25.6,18.7,14.6,11.2
182.9,92.8,63.9,54.1,41.4,27.6,20.4,15.8
45.8,26.5,17.4,14.7,10.5,9.7,8.5,6.1
28.5,11.6,11.9,10.8,10.2,10.9,8.7,8
61.7,20.2,18.2,16.1,14.2,14.2,11.2,10.4
11.7,5.2,5.6,5.5,6.6,8,6.2,5.4
246.1,89.8,61.2,49.4,38.3,25.2,19,11.7
646,196.7,116.3,90.3,72,43.6,31.7,17.1
88.1,34.8,25.2,19.1,12.8,8.8,6.7,6.3
12.6,6.4,5.5,4.1,3.3,3.7,4,3.4
24.7,11.5,9.5,7.2,5.6,6.5,7,5.6
6.8,3.3,2.6,1.6,1.3,1.2,1.2,1.2
72.2,38,27.9,26.5,29.1,18.3,9.5,7.8
169.9,73.5,53.7,51.2,53.8,31.4,17.1,13.4
33.4,18.7,11.7,8.4,7.6,6,2.2,2.3
37.4,21.1,17.3,18.4,15.6,10.1,9.8,11.3
64.9,35.4,31.1,35,29.1,21.1,20.4,20.2
18.2,9,5.6,3.9,4.8,3.6,3,2.8
19.5,16.5,14,18.5,17.4,12.6,10.5,6.4
29.4,19.1,17.6,23.8,23.8,17.6,14.9,8.4
14.3,14.3,10.6,13.1,10.9,7.5,6,4.2
12.5,10.8,8.2,13.9,15.2,14.3,15.1,12.5
26.8,18.6,12.8,22,22.5,21.9,23.7,16.9
3.3,4.2,4,6.2,8.6,7.3,6.3,7.9
9.8,8.7,9.1,8.1,5.1,4.4,4.6,7
16.5,14.8,19.4,16.7,9.1,6.8,7.1,10
6.1,4.2,1.1,1,1.7,2.2,2.2,3.7
170.4,51.9,39.9,23.8,14.3,6.7,4.5,3.2
251.6,73.8,51.9,29.9,20.7,10.8,6.6,4.5
108.9,34.6,27.7,17.3,8.3,3.2,2.4,2
201.1,49.6,29.6,14.7,6.8,4.3,3.2,1.8
330.9,76.5,41.8,19.6,9.2,6.9,5.3,2.8
93.9,26,18.6,9.9,4.5,1.7,0.9,0.8
14.2,13.9,13.7,18.1,17,13.4,13.2,7.7
25.5,20.8,17.1,24,23.3,18.8,19.3,9.2
8.1,8.3,10.3,12.1,10.4,7.6,6.8,6.2
16.1,9.5,5.3,3.3,3.3,4.6,7,9.8
38.9,16,8.5,4.3,4.2,6,8.8,15.5
2.7,2.5,2.3,1.3,0.8,1,1.5,2
28.9,12.6,9,9.3,11,13.3,17.1,13.2
42.9,18.9,13.2,14.1,15.9,19.4,26.4,19.1
12.6,5.9,4.8,4.3,5.9,6.9,7.3,6.7
8.8,7.2,4.8,5.7,3.3,2.8,3.4,3.3
17,13.5,8.5,9.7,6.1,5,5.5,4.5
2.7,1.9,1.5,1.8,0.6,0.5,1.2,2.1
14,6.1,7.1,5.9,4.7,6,4,3
23.2,9,10.3,7.9,6.8,9,6,4.2
6.5,3.7,4.2,4,2.5,2.7,2,1.7
10,7.2,9.8,8.8,6.7,6.1,8.2,9.3
19.2,12.4,14.7,14.4,9.5,9,13,13
3.9,2.7,5,3,3.9,3.1,3.1,5.3
6.3,4.6,4,3.4,3.3,3.6,4.1,3.2
10.8,7.1,6.3,5.6,5.2,5.8,6.4,4
3.3,2.5,1.8,1.3,1.4,1.4,1.7,2.5
19.2,9.3,4.8,2.8,2.6,2.7,3,2
34.8,15.7,7.5,5,4.4,4.4,4.6,2.7
12.8,5.5,2.7,0.9,0.9,1.1,1.4,1.2
13.5,11.7,13.4,17.9,15.4,12.3,12.1,8.5
36.5,25.1,25.6,32.2,26.3,21.4,21.2,14.5
4.4,4.2,4,4.8,4.4,2.7,2.3,2.3
31.8,26.9,16.8,15,15.1,8,6.3,2.9
70.8,48.2,26.1,23.8,23.4,12.9,10,4.2
12.7,12.1,9.1,7.2,7.5,3.4,2.8,1.6
22.3,10.3,4.7,3,5.3,7.5,7.3,6.9
29.9,15,5.2,3.6,6.4,8.9,8.3,8.7
14.7,6,3.1,0.8,0.9,2.6,3,1.9
113.3,69.9,38.2,37.1,34.4,29.5,22.4,14.3
289.3,122.9,60.8,58.4,51,38.9,26.1,14.1
48,34.6,17.9,16.1,17.4,19.4,18.2,14.5
18.4,15.3,17.4,27,24.1,16,11.9,8.9
43,32.8,32.1,52.1,45.3,28.4,20.7,15
9.3,6.9,7.4,7.1,4.9,3.7,2.8,2.4
58.6,25.4,20.2,14.5,12.4,6.8,7,3
98.1,42.8,32.1,20.3,20.1,11,10.5,3.7
34.1,12.9,9.9,8.7,4.5,2.3,3.4,2.2
22,14.9,14.5,15.3,14.9,9.9,6.3,4.7
41.5,28.9,27.4,27.3,25.4,16.7,10.1,7.6
11.6,6.9,4.8,4.7,4.4,2.9,2.2,1.5
58.6,34.1,27.8,28.3,34.4,40.7,26.9,17.8
161,73.2,55.5,53.4,60.9,71.1,45.9,28.2
31.4,18.7,11.1,9.2,10.9,11.5,7.5,7
82.7,51.9,33.2,21.5,13.9,6.7,5.2,3.6
141.5,85.8,50.5,31.8,21.7,11.1,8.1,5.1
47.6,31.2,20.4,11.7,6.4,2.7,2.3,2
30.1,20.7,13.4,11,9.7,10.2,7.8,4.8
56.4,40,24.7,20.6,17.6,18.7,13.9,8.3
3.4,2.6,2.7,2.2,2.3,2.2,1.8,1.3
0,3.1,0,0,0,1.7,0.9,1.3
0,6.3,0,0,0,3.5,1.8,2.6
0,0,0,0,0,0,0,0
40.1,19.1,15.7,14.4,11.8,18.9,23.3,24.3
75,25.9,22.3,18.3,16.9,27.9,35.2,34.6
22.1,14.4,10,10.4,6.2,9.3,9.7,12.9
14.2,6.7,5.8,4.4,3.2,2.4,2.1,1.6
30.5,10.7,8.7,6.2,4.5,3.6,3.4,2.5
7.7,4,3.4,2.8,2,1.2,0.7,0.7
9.7,5.6,6,7.2,8.6,10,8.8,3.9
17.3,9.3,9,9.7,11.3,13.7,13.1,6.2
3.5,1.9,2.2,2.2,3,3.7,3,1.4
